SECID,TRADEDATE,OPEN,LOW,HIGH,CLOSE,VOLUME
RIU6,2026-04-22 10:30:00,115000.0,115000.0,115000.0,115000.0,2.0
RIU6,2026-04-22 10:39:00,115090.0,115090.0,115090.0,115090.0,1.0
RIU6,2026-04-22 10:40:00,115080.0,115080.0,115080.0,115080.0,1.0
RIU6,2026-04-22 10:42:00,115050.0,115050.0,115050.0,115050.0,1.0
RIU6,2026-04-22 10:43:00,115080.0,115080.0,115080.0,115080.0,1.0
RIU6,2026-04-22 11:01:00,115050.0,115050.0,115050.0,115050.0,1.0
RIU6,2026-04-22 11:32:00,115320.0,115320.0,115320.0,115320.0,1.0
RIU6,2026-04-22 13:15:00,114820.0,114820.0,114820.0,114820.0,2.0
RIU6,2026-04-22 13:24:00,114850.0,114850.0,114850.0,114850.0,5.0
RIU6,2026-04-22 13:25:00,114850.0,114850.0,114850.0,114850.0,7.0
RIU6,2026-04-22 13:28:00,114850.0,114850.0,114850.0,114850.0,3.0
RIU6,2026-04-22 13:42:00,114920.0,114920.0,114920.0,114920.0,1.0
RIU6,2026-04-22 13:50:00,114850.0,114850.0,114850.0,114850.0,2.0
RIU6,2026-04-22 13:52:00,114850.0,114850.0,114870.0,114870.0,2.0
RIU6,2026-04-22 13:53:00,114900.0,114900.0,114900.0,114900.0,1.0
RIU6,2026-04-22 13:54:00,114880.0,114880.0,114880.0,114880.0,2.0
RIU6,2026-04-22 14:05:00,114880.0,114880.0,114880.0,114880.0,2.0
RIU6,2026-04-22 14:08:00,114840.0,114840.0,114840.0,114840.0,1.0
RIU6,2026-04-22 14:19:00,114940.0,114940.0,114940.0,114940.0,1.0
RIU6,2026-04-22 14:23:00,114880.0,114880.0,114880.0,114880.0,1.0
RIU6,2026-04-22 14:25:00,114660.0,114660.0,114660.0,114660.0,1.0
RIU6,2026-04-22 14:30:00,114690.0,114690.0,114690.0,114690.0,1.0
RIU6,2026-04-22 14:33:00,114660.0,114660.0,114660.0,114660.0,1.0
RIU6,2026-04-22 14:35:00,114660.0,114640.0,114660.0,114640.0,2.0
RIU6,2026-04-22 14:37:00,114840.0,114840.0,114840.0,114840.0,1.0
RIU6,2026-04-22 14:46:00,114880.0,114880.0,114900.0,114900.0,2.0
RIU6,2026-04-22 15:08:00,114780.0,114750.0,114780.0,114750.0,3.0
RIU6,2026-04-22 15:09:00,114710.0,114710.0,114730.0,114730.0,5.0
RIU6,2026-04-22 15:10:00,114650.0,114650.0,114650.0,114650.0,2.0
RIU6,2026-04-22 15:11:00,114640.0,114640.0,114640.0,114640.0,1.0
RIU6,2026-04-22 15:14:00,114760.0,114760.0,114760.0,114760.0,2.0
RIU6,2026-04-22 15:26:00,114950.0,114950.0,114960.0,114960.0,2.0
RIU6,2026-04-22 15:27:00,114970.0,114970.0,114970.0,114970.0,1.0
RIU6,2026-04-22 15:31:00,114910.0,114910.0,114910.0,114910.0,1.0
RIU6,2026-04-22 15:37:00,114930.0,114930.0,114930.0,114930.0,2.0
RIU6,2026-04-22 16:14:00,115090.0,115090.0,115100.0,115090.0,3.0
RIU6,2026-04-22 16:16:00,115020.0,115010.0,115020.0,115010.0,2.0
RIU6,2026-04-22 16:33:00,115050.0,115050.0,115050.0,115050.0,1.0
RIU6,2026-04-22 16:34:00,115010.0,115010.0,115010.0,115010.0,2.0
RIU6,2026-04-22 17:10:00,115300.0,115300.0,115300.0,115300.0,1.0
RIU6,2026-04-22 17:48:00,115590.0,115590.0,115590.0,115590.0,2.0
RIU6,2026-04-22 17:54:00,115520.0,115520.0,115520.0,115520.0,1.0
RIU6,2026-04-22 17:55:00,115560.0,115560.0,115560.0,115560.0,1.0
RIU6,2026-04-22 17:57:00,115600.0,115600.0,115600.0,115600.0,2.0
RIU6,2026-04-22 17:58:00,115600.0,115600.0,115600.0,115600.0,8.0
RIU6,2026-04-22 18:26:00,115620.0,115620.0,115620.0,115620.0,1.0
RIU6,2026-04-22 18:27:00,115630.0,115630.0,115650.0,115650.0,3.0
RIU6,2026-04-22 18:28:00,115640.0,115640.0,115650.0,115650.0,2.0
RIU6,2026-04-22 18:29:00,115630.0,115630.0,115630.0,115630.0,1.0
RIU6,2026-04-22 18:32:00,115610.0,115610.0,115610.0,115610.0,1.0
RIU6,2026-04-22 18:38:00,115610.0,115610.0,115610.0,115610.0,1.0
RIU6,2026-04-22 18:39:00,115610.0,115610.0,115610.0,115610.0,1.0
RIU6,2026-04-22 18:54:00,115510.0,115500.0,115510.0,115500.0,2.0
RIU6,2026-04-22 18:56:00,115500.0,115500.0,115500.0,115500.0,1.0
RIU6,2026-04-22 20:36:00,115520.0,115520.0,115520.0,115520.0,1.0
MXM6,2026-04-22 19:37:00,280150.0,280125.0,280175.0,280125.0,75.0
MXM6,2026-04-22 19:38:00,280150.0,280100.0,280150.0,280100.0,22.0
MXM6,2026-04-22 19:39:00,280100.0,280050.0,280100.0,280075.0,62.0
MXM6,2026-04-22 19:40:00,280125.0,280075.0,280150.0,280100.0,12.0
MXM6,2026-04-22 19:41:00,280150.0,280100.0,280150.0,280100.0,19.0
MXM6,2026-04-22 19:42:00,280100.0,280100.0,280350.0,280250.0,780.0
MXM6,2026-04-22 19:43:00,280250.0,280250.0,280350.0,280275.0,115.0
MXM6,2026-04-22 19:44:00,280250.0,280225.0,280350.0,280275.0,226.0
MXM6,2026-04-22 19:45:00,280300.0,280175.0,280350.0,280175.0,402.0
MXM6,2026-04-22 19:46:00,280175.0,280100.0,280175.0,280125.0,90.0
MXM6,2026-04-22 19:47:00,280125.0,280000.0,280150.0,280000.0,308.0
MXM6,2026-04-22 19:48:00,280025.0,280025.0,280025.0,280025.0,7.0
MXM6,2026-04-22 19:49:00,280000.0,280000.0,280025.0,280025.0,11.0
MXM6,2026-04-22 19:50:00,280025.0,280025.0,280050.0,280025.0,5.0
MXM6,2026-04-22 19:51:00,280050.0,280025.0,280200.0,280200.0,314.0
MXM6,2026-04-22 19:52:00,280175.0,280075.0,280175.0,280075.0,64.0
MXM6,2026-04-22 19:53:00,280150.0,280100.0,280150.0,280125.0,8.0
